nom,quantite,poids (en g),volume (en mL),prix,descriptif,stock,nom_cat
Kouign Amann,6,400,,3.99,"Spécialité emblématique du Finistère, ce gâteau repose sur une base de pâte à pain copieusement enduite de beurre demi-sel et de sucre, qui est ensuite repliée (et souvent scarifiée de sorte à caraméliser en surface). Fondante à l’intérieur, croustillante à l’extérieur et divinement feuilletée : un petit plaisir pur beurre tout bonnement irrésistible à l’heure du dessert ou au goûter.",20,sucré
Rillettes de thon,1,150.0,,2.99,"Pour un apéritif frais, en dip ou en verrine, mais aussi dans un sandwich, sur une tartine gourmande ou pour accompagner des crudités, invitez les rillettes à votre table. Préparé avec des ingrédients du quotidien, c'est la recette polyvalente, qui plaît à tous, à dégainer en toutes circonstances ! ",20,salé
Crêpes,12,200,,3.99,"La crêpe est un mets composé d'une couche plus ou moins fine de pâte, faite à base de farine et d'œufs agglomérés à un liquide, sans levain. Elle est généralement de forme ronde. La crêpe se mange chaude ou froide, sucrée ou salée, comme plat principal ou comme dessert, mais peut aussi constituer un en-cas.",20,sucré
Crêpes dentelles,24,200,,2.99,"Une crêpe dentelle ou gavotte est une crêpe bretonne très fine, roulée sur elle-même et croustillante.",20,sucré
Galettes saucisses,4,500,,4.99,"La galette saucisse est une recette bretonne à base de galette de sarrasin et de saucisse de porc. Elle est consommée depuis le XIXème siècle, notamment lors d'évènements sportifs ou de fêtes populaires. C'est un repas de restauration rapide très simple à faire, rapide à cuisiner et peu coûteux.",20,salé
Rilettes de porc,1,150.0,,4.99,"Ahhhhh la fameuse Rillette de Porc de la Conserverie Saint Christophe. Composées à 99% de viande et de gras de porc, elle restitue tout simplement l'onctuosité et la vigueur de ce que doit être une rillette digne de ce nom. Avec un assaisonnement simple et vivifiant, ce produit essentiel est d'un plaisir sans égal !",20,salé
Palets bretons,12,150,,2.5,"Le palet breton ou sablé breton est un biscuit sablé et une spécialité culinaire traditionnelle emblématique de la cuisine bretonne, à base de pâte sablée.",20,sucré
Far breton,12,400,,5.99,"Le far breton est une pâtisserie et spécialité culinaire traditionnelle emblématique de la cuisine bretonne, à base d'œuf, farine, beurre demi-sel, sucre, et éventuellement de rhum, pruneaux ou raisins secs.",20,sucré
Caramel au beurre salé,1,150.0,,5.99,"Le caramel au beurre salé est une confiserie et une spécialité culinaire gastronomique traditionnelle emblématique de la cuisine bretonne, à base de sucre caramelisé, de beurre salé, et de crème fraîche.",20,salé
Breizh Cola,1,,1000,1.49,"Le Breizh Cola est une variante du Coca Cola, produite en bretagne",20,boisson
Dremmwel Sans Alcool,6,,330,5.25,"Créées il y a plus de 20 ans par la Brasserie de Bretagne, les bières Dremmwel, élaborées avec des ingrédients bio issus de filières locales, sont la pure expression de leur terroir celte. La blonde Dremmwel est une bière de dégustation sans alcool au corps léger et aux arômes maltés et fruités. Elle séduira les amateurs de blondes élaborées.",20,boisson
Gateaux Breton,1,450.0,,6.5,"Gâteau rond et moelleux avec une croûte dorée. Sa texture est très friable et se rapproche du palet breton. Vous le retrouverez nature, avec une crème de pruneaux,de chocolat, de framboise ou encore de caramel au beurre salé",35,sucré
Miel de trèfle Breton,1,250.0,,7.99,"Blanc à la récolte puis plus ambré avec le temps, découvrez ce miel au goût subtil, légèrement acidulé et aux notes légères de caramel. Cette  récolte est très rare en France au vu de sa production très aléatoire. ",12,sucré
Jus de pomme artisanal,1,,1000,2.95,Notre jus de pomme se caractérise par un léger trouble naturel et un goût très intense de pommes fraîchement récoltées.,40,boisson
Jus de pomme pétillant,1,,1000,3.95,Savourez notre pur jus de pomme pétillant BIO alliant la saveur des pommes fraîches et la pétillance d’une boisson festive.,10,boisson
Bracelet cuir et métal Triskel,1,,,13.95,"Ce joli bracelet en cuir triskell réalisé à la main. Il est composé de cuir et d'un motif en alliage de métal. Proposé pour les hommes, il convient également aux femmes.",35,artisanat
Mug Drapeau breton,1,,,5.95,Un mug breton avec le Gwen Ha Du pour enflammer votre amour de la Bretagne.,19,artisanat
Bougie artisanale,1,200,,9.95,"Bougie artisanale en cire d'abeille bretonne, 11cm de hauteur pour 5.3cm de diamètre",23,artisanat
Savon artisanal,1,100,,5.95,"Savon de haute qualité, fabriqué artisanalement en Bretagne.",38,artisanat
